run,job_id,account,network,dataset,batch_size,granularity,base,meta,meta_stepsize,alpha0,gamma,augment,beta_clip,hier,lam,eta_ratio,seed,epochs_done,epochs_requested,best_test,final_test,final_train,collapsed,node,wallclock_min,provenance,dup_group,superseded,ep_to_85,ep_to_88,ep_to_90,plateau,ep_in_band_90,plateau5,auc,window_ok,complete
a0-blk6-1e4_s2,4680724,Account2,ResNet18,CIFAR10,100,resnet18_blocks,AdamW,Adam,1e-3,1e-4,1,1,-15:-2.3026,,na,na,2,100,100,91.91,91.44,99.63,0,[HOST_2f2f29d9e1],43,env,,0,10,19,34,91.581,32,91.546,89.085,1,1
g2_mAdam_blk6_s2,4679380,Account2,ResNet18,CIFAR10,100,resnet18_blocks,AdamW,Adam,1e-3,1e-6,1,1,none,,na,na,2,100,100,92.0,91.95,99.64,0,[HOST_03eb56b6d1],45,inferred,,0,10,15,27,91.645,38,91.712,88.996,1,1
g1_adamw_blk6_s2,4679168,Account2,ResNet18,CIFAR10,100,resnet18_blocks,AdamW,Lion,1e-3,1e-6,1,1,none,,na,na,2,100,100,91.95,91.07,99.79,0,[HOST_03eb56b6d1],46,inferred,,0,13,19,36,91.382,39,91.282,88.044,1,1
i3bc-1e1-s2,4700664,Account2,ResNet18,CIFAR10,100,resnet18_blocks,AdamW,Adam,1e-3,1e-1,1,1,-15:0,,na,na,2,100,100,80.73,80.02,83.19,0,[HOST_f0845cc956],42,env,,0,,,,80.345,0,80.474,73.573,1,1
i3b-1e3-s2,4700657,Account2,ResNet18,CIFAR10,100,resnet18_blocks,AdamW,Adam,1e-3,1e-3,1,1,-15:-2.3026,,na,na,2,100,100,92.42,92.13,99.92,0,[HOST_f0845cc956],43,env,,0,10,12,18,92.228,9,92.222,90.157,1,1
i3b-1e5-s2,4700651,Account2,ResNet18,CIFAR10,100,resnet18_blocks,AdamW,Adam,1e-3,1e-5,1,1,-15:-2.3026,,na,na,2,100,100,91.9,91.77,99.73,0,[HOST_7b4dd78541],44,env,,0,9,14,27,91.591,37,91.592,89.313,1,1
ub9-b6-s2,4796078,Account2,ResNet18,CIFAR10,100,resnet18_blocks,AdamW,Adam,1e-3,1e-6,1,0,-60:6.0,,na,na,2,100,100,75.23,74.82,99.99,0,[HOST_668d417035],34,env,,0,,,,74.599,0,74.56,74.15,1,1
i3b-1e4-s2,4700653,Account2,ResNet18,CIFAR10,100,resnet18_blocks,AdamW,Adam,1e-3,1e-4,1,1,-15:-2.3026,,na,na,2,100,100,92.32,91.73,99.62,0,[HOST_b0a55dfb8c],44,env,,0,9,17,28,91.734,31,91.606,89.313,1,1
cau1-m6t-s50,4945794,Account2,ResNet18,CIFAR10,100,resnet18_blocks,AdamW,Adam,1e-3,3e-4,1,0,-15:-2.3026,,na,na,50,100,100,86.44,85.84,99.99,0,[HOST_e8d809bd94],41,env,,0,19,,,86.024,0,86.022,84.999,1,1
cau1-m6-s50,4945793,Account2,ResNet18,CIFAR10,100,resnet18_blocks,AdamW,Adam,1e-3,1e-6,1,0,-60:6.0,,na,na,50,100,100,74.87,74.21,100.0,0,[HOST_2f2f29d9e1],41,env,,0,,,,74.21,0,74.104,73.833,1,1
cau1-m6t-s51,4945839,Account2,ResNet18,CIFAR10,100,resnet18_blocks,AdamW,Adam,1e-3,3e-4,1,0,-15:-2.3026,,na,na,51,100,100,85.77,85.62,100.0,0,[HOST_e8d809bd94],41,env,,0,17,,,85.471,0,85.558,84.379,1,1
cau1-m6-s51,4945838,Account2,ResNet18,CIFAR10,100,resnet18_blocks,AdamW,Adam,1e-3,1e-6,1,0,-60:6.0,,na,na,51,100,100,75.72,75.45,99.99,0,[HOST_e8d809bd94],41,env,,0,,,,75.268,0,75.322,74.8,1,1
cau1-m6-s52,4945847,Account2,ResNet18,CIFAR10,100,resnet18_blocks,AdamW,Adam,1e-3,1e-6,1,0,-60:6.0,,na,na,52,100,100,74.44,74.12,99.99,0,[HOST_6dc36997e3],51,env,,0,,,,74.075,0,74.072,73.629,1,1
cau1-m6t-s52,4945848,Account2,ResNet18,CIFAR10,100,resnet18_blocks,AdamW,Adam,1e-3,3e-4,1,0,-15:-2.3026,,na,na,52,100,100,86.54,86.49,100.0,0,[HOST_fd0c0ddbe6],40,env,,0,16,,,86.315,0,86.414,85.036,1,1
I1_scal_s0,4700563,Account1,ResNet18,CIFAR10,100,scalar,AdamW,Adam,1e-3,1e-3,1,1,-15:-2.3026,,na,na,0,100,100,92.93,92.75,99.98,0,[HOST_7b4dd78541],43,env,,0,10,17,24,92.126,26,92.538,89.638,1,1
PP_scal_s0,4700548,Account1,ResNet18,CIFAR10,100,scalar,AdamW,Adam,1e-3,1e-6,1,0,-15:-2.3026,,na,na,0,100,100,74.13,73.62,100.0,0,[HOST_fd0c0ddbe6],38,env,,0,,,,73.495,0,73.908,72.831,1,1
pp_scal_s0,4683697,Account1,ResNet18,CIFAR10,100,scalar,AdamW,Adam,1e-3,1e-6,1,0,-15:-2.3026,,na,na,0,100,100,74.04,73.81,100.0,0,[HOST_f0845cc956],39,env,,0,,,,73.596,0,73.66,72.865,1,1
a0-scal-1e4_s0,4680703,Account2,ResNet18,CIFAR10,100,scalar,AdamW,Adam,1e-3,1e-4,1,1,-15:-2.3026,,na,na,0,100,100,92.37,91.98,99.75,0,[HOST_b0a55dfb8c],45,env,a0-scal-1e4_s0,0,10,14,27,91.752,36,91.75,89.411,1,1
a0-scal-1e4_s0,4682513,Account2,ResNet18,CIFAR10,100,scalar,AdamW,Adam,1e-3,1e-4,1,1,-15:-2.3026,,na,na,0,50,100,91.14,91.07,98.62,0,[HOST_b0a55dfb8c],,env,a0-scal-1e4_s0,1,8,16,26,90.477,23,90.828,87.43,1,0
a0-scal-1e3_s0,4680702,Account2,ResNet18,CIFAR10,100,scalar,AdamW,Adam,1e-3,1e-3,1,1,-15:-2.3026,,na,na,0,100,100,92.76,92.56,99.92,0,[HOST_03eb56b6d1],45,env,,0,10,12,18,92.481,9,92.62,90.128,1,1
tc1-sc-a4-s0,4804356,Account2,ResNet18,CIFAR10,100,scalar,AdamW,Adam,1e-3,1e-4,1,1,-30:6.0,,na,na,0,100,100,92.12,91.79,99.64,0,[HOST_e8d809bd94],50,env,,0,10,17,37,91.624,33,91.59,89.274,1,1
a0-scal-1e6_s0,4680704,Account2,ResNet18,CIFAR10,100,scalar,AdamW,Adam,1e-3,1e-6,1,1,-15:-2.3026,,na,na,0,100,100,92.12,91.41,99.61,0,[HOST_b0a55dfb8c],45,env,,0,10,19,30,91.673,36,91.656,88.987,1,1
ub9-sc-s0,4796071,Account2,ResNet18,CIFAR10,100,scalar,AdamW,Adam,1e-3,1e-6,1,0,-60:6.0,,na,na,0,100,100,73.77,72.1,99.81,0,[HOST_e8d809bd94],43,env,,0,,,,72.36,0,72.068,72.432,1,1
tc1-sc-a3-s0,4804359,Account2,ResNet18,CIFAR10,100,scalar,AdamW,Adam,1e-3,1e-3,1,1,-30:6.0,,na,na,0,100,100,92.89,92.75,99.98,0,[HOST_af5f3a3791],47,env,,0,10,12,15,92.686,7,92.764,90.188,1,1
g1_adamw_scal_s0,4679277,Account2,ResNet18,CIFAR10,100,scalar,AdamW,Lion,1e-3,1e-6,1,1,none,,na,na,0,100,100,92.05,91.67,99.58,0,[HOST_2f2f29d9e1],45,inferred,,0,11,19,33,91.74,26,91.746,88.291,1,1
g2_mAdam_scal_s0,4679375,Account2,ResNet18,CIFAR10,100,scalar,AdamW,Adam,1e-3,1e-6,1,1,none,,na,na,0,100,100,92.23,91.97,99.67,0,[HOST_bcfd0fc19c],46,inferred,,0,10,17,25,91.662,30,91.774,89.088,1,1
pp_scal_s1,4683698,Account1,ResNet18,CIFAR10,100,scalar,AdamW,Adam,1e-3,1e-6,1,0,-15:-2.3026,,na,na,1,100,100,73.95,73.95,100.0,0,[HOST_f0845cc956],39,env,,0,,,,73.256,0,73.794,72.718,1,1
I1_scal_s1,4700564,Account1,ResNet18,CIFAR10,100,scalar,AdamW,Adam,1e-3,1e-3,1,1,-15:-2.3026,,na,na,1,100,100,92.75,92.72,99.96,0,[HOST_e8d809bd94],43,env,,0,8,15,25,92.213,28,92.54,89.606,1,1
PP_scal_s1,4700549,Account1,ResNet18,CIFAR10,100,scalar,AdamW,Adam,1e-3,1e-6,1,0,-15:-2.3026,,na,na,1,100,100,74.7,73.75,100.0,0,[HOST_2f2f29d9e1],39,env,,0,,,,73.97,0,73.442,73.474,1,1
ub9-sc-s1,4796074,Account2,ResNet18,CIFAR10,100,scalar,AdamW,Adam,1e-3,1e-6,1,0,-60:6.0,,na,na,1,100,100,73.81,71.75,99.9,0,[HOST_e8d809bd94],41,env,,0,,,,71.797,0,71.806,71.769,1,1
g2_mAdam_scal_s1,4679376,Account2,ResNet18,CIFAR10,100,scalar,AdamW,Adam,1e-3,1e-6,1,1,none,,na,na,1,100,100,91.77,91.77,99.58,0,[HOST_2f2f29d9e1],44,inferred,,0,10,22,36,91.422,37,91.492,88.718,1,1
tc1-sc-a4-s1,4804362,Account2,ResNet18,CIFAR10,100,scalar,AdamW,Adam,1e-3,1e-4,1,1,-30:6.0,,na,na,1,100,100,92.06,91.91,99.55,0,[HOST_03eb56b6d1],59,env,,0,8,15,28,91.828,33,91.874,89.428,1,1
tc1-sc-a3-s1,4804365,Account2,ResNet18,CIFAR10,100,scalar,AdamW,Adam,1e-3,1e-3,1,1,-30:6.0,,na,na,1,100,100,92.83,92.75,99.97,0,[HOST_e223b82d71],71,env,,0,9,12,16,92.724,8,92.738,90.204,1,1
a0-scal-1e3_s1,4680711,Account2,ResNet18,CIFAR10,100,scalar,AdamW,Adam,1e-3,1e-3,1,1,-15:-2.3026,,na,na,1,100,100,93.07,92.83,99.93,0,[HOST_b0a55dfb8c],43,env,,0,9,13,16,92.816,6,92.724,90.343,1,1
a0-scal-1e4_s1,4680712,Account2,ResNet18,CIFAR10,100,scalar,AdamW,Adam,1e-3,1e-4,1,1,-15:-2.3026,,na,na,1,100,100,92.31,92.31,99.7,0,[HOST_b0a55dfb8c],44,env,,0,8,16,29,91.772,31,91.944,89.336,1,1
g1_adamw_scal_s1,4679278,Account2,ResNet18,CIFAR10,100,scalar,AdamW,Lion,1e-3,1e-6,1,1,none,,na,na,1,100,100,91.87,91.87,99.65,0,[HOST_2f2f29d9e1],45,inferred,,0,14,21,36,91.534,41,91.654,87.954,1,1
a0-scal-1e6_s1,4680713,Account2,ResNet18,CIFAR10,100,scalar,AdamW,Adam,1e-3,1e-6,1,1,-15:-2.3026,,na,na,1,100,100,92.02,91.65,99.71,0,[HOST_2f2f29d9e1],44,env,,0,10,16,35,91.495,39,91.472,88.771,1,1
PP_scal_s2,4700550,Account1,ResNet18,CIFAR10,100,scalar,AdamW,Adam,1e-3,1e-6,1,0,-15:-2.3026,,na,na,2,100,100,74.18,74.18,100.0,0,[HOST_2f2f29d9e1],39,env,,0,,,,73.687,0,74.084,72.905,1,1
pp_scal_s2,4683699,Account1,ResNet18,CIFAR10,100,scalar,AdamW,Adam,1e-3,1e-6,1,0,-15:-2.3026,,na,na,2,100,100,74.77,74.22,100.0,0,[HOST_03eb56b6d1],39,env,,0,,,,73.858,0,74.092,73.421,1,1
I1_scal_s2,4700565,Account1,ResNet18,CIFAR10,100,scalar,AdamW,Adam,1e-3,1e-3,1,1,-15:-2.3026,,na,na,2,100,100,92.83,92.83,99.96,0,[HOST_bcfd0fc19c],44,env,,0,9,14,26,92.316,26,92.588,89.655,1,1
a0-scal-1e3_s2,4680720,Account2,ResNet18,CIFAR10,100,scalar,AdamW,Adam,1e-3,1e-3,1,1,-15:-2.3026,,na,na,2,100,100,92.98,92.78,99.98,0,[HOST_b0a55dfb8c],43,env,,0,11,14,17,92.754,9,92.778,89.998,1,1
a0-scal-1e4_s2,4680721,Account2,ResNet18,CIFAR10,100,scalar,AdamW,Adam,1e-3,1e-4,1,1,-15:-2.3026,,na,na,2,100,100,92.2,91.95,99.64,0,[HOST_bcfd0fc19c],43,env,,0,9,15,26,91.703,29,91.798,89.311,1,1
g2_mAdam_scal_s2,4679377,Account2,ResNet18,CIFAR10,100,scalar,AdamW,Adam,1e-3,1e-6,1,1,none,,na,na,2,100,100,91.8,91.55,99.72,0,[HOST_2f2f29d9e1],44,inferred,,0,12,18,31,91.427,40,91.456,88.722,1,1
ub9-sc-s2,4796077,Account2,ResNet18,CIFAR10,100,scalar,AdamW,Adam,1e-3,1e-6,1,0,-60:6.0,,na,na,2,100,100,74.17,73.43,100.0,0,[HOST_e5f7f0d5f9],83,env,,0,,,,73.393,0,73.392,72.989,1,1
a0-scal-1e6_s2,4680722,Account2,ResNet18,CIFAR10,100,scalar,AdamW,Adam,1e-3,1e-6,1,1,-15:-2.3026,,na,na,2,100,100,92.14,91.95,99.54,0,[HOST_2f2f29d9e1],44,env,,0,12,22,32,91.651,32,91.762,88.718,1,1
g1_adamw_scal_s2,4679279,Account2,ResNet18,CIFAR10,100,scalar,AdamW,Lion,1e-3,1e-6,1,1,none,,na,na,2,100,100,92.04,90.97,99.53,0,[HOST_2f2f29d9e1],45,inferred,,0,14,21,31,91.428,43,91.448,87.831,1,1
bo7-w-c6-s0,4702629,Account1,ResNet18,CIFAR10,100,weightwise,AdamW,Lion,1e-3,1e-3,1,1,-30:6.0,,na,na,0,20,20,90.12,90.12,95.14,0,[HOST_e8d809bd94],9,env,,0,8,14,19,81.609,5,89.404,81.609,0,1
bo6-w-adw-s0,4702515,Account1,ResNet18,CIFAR10,100,weightwise,AdamW,Lion,1e-3,1e-3,1,1,-30:0.0,,na,na,0,20,20,90.06,90.06,95.27,0,[HOST_2739ecbbce],18,env,,0,9,13,20,81.745,5,89.538,81.745,0,1
bo7-w-c2-s0,4702627,Account1,ResNet18,CIFAR10,100,weightwise,AdamW,Lion,1e-3,1e-3,1,1,-30:2.0,,na,na,0,20,20,89.97,75.65,93.88,0,[HOST_e8d809bd94],9,env,,0,9,12,,81.258,5,86.452,81.258,0,1
g1_adamw_weight_s0,4679172,Account2,ResNet18,CIFAR10,100,weightwise,AdamW,Lion,1e-3,1e-6,1,1,none,,na,na,0,100,100,85.82,85.2,97.7,0,[HOST_2f2f29d9e1],44,inferred,,0,64,,,85.281,0,85.33,80.948,1,1
bo6-w-adw-s1,4702516,Account1,ResNet18,CIFAR10,100,weightwise,AdamW,Lion,1e-3,1e-3,1,1,-30:0.0,,na,na,1,20,20,90.19,89.73,95.46,0,[HOST_2739ecbbce],18,env,,0,10,13,19,82.362,6,89.686,82.362,0,1
bo7-w-c6-s1,4702630,Account1,ResNet18,CIFAR10,100,weightwise,AdamW,Lion,1e-3,1e-3,1,1,-30:6.0,,na,na,1,20,20,89.82,89.77,95.22,0,[HOST_e8d809bd94],9,env,,0,9,13,,81.969,4,89.432,81.969,0,1
bo7-w-c2-s1,4702628,Account1,ResNet18,CIFAR10,100,weightwise,AdamW,Lion,1e-3,1e-3,1,1,-30:2.0,,na,na,1,20,20,90.31,90.31,95.17,0,[HOST_e8d809bd94],9,env,,0,8,13,19,82.261,5,89.696,82.261,0,1
g1_adamw_weight_s1,4679173,Account2,ResNet18,CIFAR10,100,weightwise,AdamW,Lion,1e-3,1e-6,1,1,none,,na,na,1,100,100,85.96,85.2,97.75,0,[HOST_bcfd0fc19c],45,inferred,,0,67,,,85.302,0,85.596,80.73,1,1
g1_adamw_weight_s2,4679174,Account2,ResNet18,CIFAR10,100,weightwise,AdamW,Lion,1e-3,1e-6,1,1,none,,na,na,2,100,100,86.38,86.14,97.74,0,[HOST_bcfd0fc19c],45,inferred,,0,62,,,85.576,0,85.842,81.234,1,1
gate0b_blk6_s0,4651338,Account1,ResNet18,CIFAR10,100,resnet18_blocks,HF,?,1e-3,1e-6,1,?,none,,na,na,0,100,100,66.8,66.54,100.0,0,[HOST_af5f3a3791],31,inferred,,0,,,,66.326,0,66.642,65.594,1,1
gate0c_blk6_m2_s0,4652599,Account1,ResNet18,CIFAR10,100,resnet18_blocks,HF,?,1e-2,1e-6,1,?,none,,na,na,0,100,100,91.89,90.47,99.53,0,[HOST_7b4dd78541],44,inferred,,0,10,17,24,91.514,35,91.43,89.326,1,1
gate0c_blk6_m3_s0,4652594,Account1,ResNet18,CIFAR10,100,resnet18_blocks,HF,?,1e-3,1e-6,1,?,none,,na,na,0,100,100,91.96,91.76,99.62,0,[HOST_e8d809bd94],44,inferred,,0,11,17,35,91.383,35,91.436,88.254,1,1
gate0_6block_s1,4650665,Account1,ResNet18,CIFAR10,100,resnet18_blocks,HF,?,,1e-6,,?,none,,na,na,1,100,100,75.47,75.05,99.9,0,[HOST_03eb56b6d1],39,inferred,,0,,,,74.944,0,75.03,74.558,1,1
gate0b_blk6_s1,4651339,Account1,ResNet18,CIFAR10,100,resnet18_blocks,HF,?,1e-3,1e-6,1,?,none,,na,na,1,100,100,66.14,65.52,100.0,0,[HOST_668d417035],31,inferred,,0,,,,65.468,0,65.622,64.946,1,1
gate0c_blk6_m2_s1,4652600,Account1,ResNet18,CIFAR10,100,resnet18_blocks,HF,?,1e-2,1e-6,1,?,none,,na,na,1,85,100,91.68,91.5,99.58,0,[HOST_3c1b003035],78,inferred,,0,10,15,22,91.006,46,90.954,88.663,1,0
gate0c_blk6_m3_s1,4652598,Account1,ResNet18,CIFAR10,100,resnet18_blocks,HF,?,1e-3,1e-6,1,?,none,,na,na,1,100,100,91.56,91.56,99.73,0,[HOST_03eb56b6d1],44,inferred,,0,14,19,33,91.188,46,91.316,87.971,1,1
gate0b_blk6_s2,4651340,Account1,ResNet18,CIFAR10,100,resnet18_blocks,HF,?,1e-3,1e-6,1,?,none,,na,na,2,100,100,65.99,65.7,100.0,0,[HOST_e8d809bd94],39,inferred,,0,,,,65.651,0,65.75,64.786,1,1
gate0c_scal_m2_s0,4652592,Account1,ResNet18,CIFAR10,100,scalar,HF,?,1e-2,1e-6,1,?,none,,na,na,0,100,100,92.46,92.08,98.8,0,[HOST_2f2f29d9e1],44,inferred,,0,10,16,25,91.719,32,91.776,89.151,1,1
gate0c_scal_m3_s0,4652590,Account1,ResNet18,CIFAR10,100,scalar,HF,?,1e-3,1e-6,1,?,none,,na,na,0,100,100,92.21,91.64,99.66,0,[HOST_e8d809bd94],44,inferred,,0,14,17,33,91.657,33,91.836,88.219,1,1
gate0b_scal_s0,4651335,Account1,ResNet18,CIFAR10,100,scalar,HF,?,1e-3,1e-6,1,?,none,,na,na,0,100,100,69.09,68.52,100.0,0,[HOST_e8d809bd94],39,inferred,,0,,,,68.363,0,68.718,67.036,1,1
gate0_scalar_s1,4650664,Account1,ResNet18,CIFAR10,100,scalar,HF,?,,1e-6,,?,none,,na,na,1,100,100,76.17,75.81,99.67,0,[HOST_03eb56b6d1],39,inferred,,0,,,,75.951,0,75.912,75.59,1,1
gate0c_scal_m3_s1,4652591,Account1,ResNet18,CIFAR10,100,scalar,HF,?,1e-3,1e-6,1,?,none,,na,na,1,100,100,92.05,91.72,99.63,0,[HOST_e8d809bd94],44,inferred,,0,14,22,34,91.579,38,91.674,88.015,1,1
gate0c_scal_m2_s1,4652593,Account1,ResNet18,CIFAR10,100,scalar,HF,?,1e-2,1e-6,1,?,none,,na,na,1,81,100,92.46,91.75,99.28,0,[HOST_3c1b003035],78,inferred,,0,10,19,25,91.293,32,91.616,88.384,1,0
gate0b_scal_s1,4651336,Account1,ResNet18,CIFAR10,100,scalar,HF,?,1e-3,1e-6,1,?,none,,na,na,1,100,100,69.24,68.95,100.0,0,[HOST_6dc36997e3],44,inferred,,0,,,,68.785,0,68.966,67.019,1,1
a2_smoke,4679107,Account2,ResNet18,CIFAR10,100,scalar,HF,?,1e-3,1e-6,1,1,none,,na,na,1,2,2,56.12,56.12,50.69,0,[HOST_3c1b003035],4,inferred,,0,,,,,0,,52.195,0,1
gate0b_scal_s2,4651337,Account1,ResNet18,CIFAR10,100,scalar,HF,?,1e-3,1e-6,1,?,none,,na,na,2,100,100,69.16,68.87,99.97,0,[HOST_af5f3a3791],31,inferred,,0,,,,68.734,0,68.798,67.381,1,1
bo-lion-layer-s0,4685385,Account2,ResNet18,CIFAR10,100,layerwise,Lion,Lion,1e-3,1e-6,1,1,-15:-2.3026,,0,na,0,100,100,91.92,91.41,99.77,0,[HOST_2739ecbbce],76,env,,0,12,16,28,91.566,32,91.346,88.35,1,1
bo-lion-r006-s0,4685387,Account2,ResNet18,CIFAR10,100,layerwise,Lion,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,0,0.06,0,100,100,93.25,93.07,99.94,0,[HOST_e8d809bd94],39,env,,0,13,20,26,92.985,12,93.072,88.892,1,1
bo-lion-r0-s0,4685386,Account2,ResNet18,CIFAR10,100,layerwise,Lion,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,0,0,0,100,100,94.14,94.14,99.97,0,[HOST_2f2f29d9e1],39,env,,0,15,20,28,93.827,19,94.04,88.831,1,1
bo-lion-r02-s0,4685388,Account2,ResNet18,CIFAR10,100,layerwise,Lion,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,0,0.2,0,100,100,92.55,92.36,99.87,0,[HOST_e8d809bd94],39,env,,0,13,18,26,92.285,15,92.396,88.716,1,1
bo-lion-r02-s1,4685393,Account2,ResNet18,CIFAR10,100,layerwise,Lion,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,0,0.2,1,100,100,92.42,92.32,99.89,0,[HOST_e8d809bd94],39,env,,0,13,18,25,92.174,15,92.272,88.623,1,1
bo-lion-r006-s1,4685392,Account2,ResNet18,CIFAR10,100,layerwise,Lion,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,0,0.06,1,100,100,93.44,93.36,99.95,0,[HOST_e8d809bd94],39,env,,0,14,19,29,93.141,14,93.376,88.888,1,1
bo-lion-r0-s1,4685391,Account2,ResNet18,CIFAR10,100,layerwise,Lion,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,0,0,1,100,100,93.99,93.93,99.96,0,[HOST_2f2f29d9e1],39,env,,0,14,22,29,93.498,16,93.81,88.676,1,1
bo-lion-layer-s1,4685390,Account2,ResNet18,CIFAR10,100,layerwise,Lion,Lion,1e-3,1e-6,1,1,-15:-2.3026,,0,na,1,100,100,91.74,91.43,99.76,0,[HOST_e8d809bd94],39,env,,0,11,16,33,91.285,42,91.37,88.192,1,1
bo-lion-layer-s2,4685395,Account2,ResNet18,CIFAR10,100,layerwise,Lion,Lion,1e-3,1e-6,1,1,-15:-2.3026,,0,na,2,100,100,91.52,91.24,99.76,0,[HOST_2739ecbbce],75,env,,0,11,16,27,91.127,50,91.128,88.118,1,1
bo-lion-scal-s0,4685384,Account2,ResNet18,CIFAR10,100,scalar,Lion,Lion,1e-3,1e-6,1,1,-15:-2.3026,,0,na,0,100,100,92.05,91.91,99.68,0,[HOST_3c1b003035],95,env,,0,11,16,27,91.691,28,91.786,88.425,1,1
bo-lion-scal-s1,4685389,Account2,ResNet18,CIFAR10,100,scalar,Lion,Lion,1e-3,1e-6,1,1,-15:-2.3026,,0,na,1,100,100,91.79,91.62,99.68,0,[HOST_3c1b003035],94,env,,0,11,18,29,91.442,39,91.49,88.207,1,1
bo-lion-scal-s2,4685394,Account2,ResNet18,CIFAR10,100,scalar,Lion,Lion,1e-3,1e-6,1,1,-15:-2.3026,,0,na,2,100,100,91.66,91.12,99.69,0,[HOST_8d6ba568b8],94,env,,0,11,18,33,91.197,48,91.08,88.088,1,1
nl1-rms-c23-s0,4832415,Account1,ResNet18,CIFAR10,100,chunk2325,RMSProp,Lion,1e-4,1e-3,1,1,-15:-2.3026,,na,na,0,100,100,93.45,93.01,99.87,0,[HOST_e223b82d71],53,env,,0,9,13,20,93.032,12,93.09,89.739,1,1
nl1-rms-c23-s1,4832423,Account1,ResNet18,CIFAR10,100,chunk2325,RMSProp,Lion,1e-4,1e-3,1,1,-15:-2.3026,,na,na,1,100,100,93.17,92.94,99.83,0,[HOST_668d417035],51,env,,0,8,14,19,92.782,14,93.02,90.048,1,1
nl1-rms-c23-s2,4832431,Account1,ResNet18,CIFAR10,100,chunk2325,RMSProp,Lion,1e-4,1e-3,1,1,-15:-2.3026,,na,na,2,100,100,93.51,92.97,99.8,0,[HOST_e223b82d71],52,env,,0,9,15,18,93.008,18,93.164,89.85,1,1
nl1-rms-ch-s0,4832413,Account1,ResNet18,CIFAR10,100,chunk777,RMSProp,Lion,1e-4,1e-3,1,1,-15:-2.3026,,na,na,0,100,100,93.4,93.4,99.77,0,[HOST_f0845cc956],52,env,,0,10,19,24,92.962,18,93.146,89.497,1,1
nl1-rms-ch-s1,4832421,Account1,ResNet18,CIFAR10,100,chunk777,RMSProp,Lion,1e-4,1e-3,1,1,-15:-2.3026,,na,na,1,100,100,93.43,93.25,99.8,0,[HOST_f0845cc956],52,env,,0,8,14,21,93.14,15,93.248,89.874,1,1
nl1-rms-ch-s2,4832429,Account1,ResNet18,CIFAR10,100,chunk777,RMSProp,Lion,1e-4,1e-3,1,1,-15:-2.3026,,na,na,2,100,100,93.39,93.05,99.78,0,[HOST_e8d809bd94],52,env,,0,11,14,22,92.593,16,92.992,89.466,1,1
bm2-rms-ch-s3,4848875,Account1,ResNet18,CIFAR10,100,chunk777,RMSProp,Lion,1e-4,1e-3,1,1,-15:-2.3026,,na,na,3,100,100,93.73,93.22,99.83,0,[HOST_03eb56b6d1],53,env,,0,9,16,27,93.066,15,93.166,89.792,1,1
bm2-rms-ch-s4,4848879,Account1,ResNet18,CIFAR10,100,chunk777,RMSProp,Lion,1e-4,1e-3,1,1,-15:-2.3026,,na,na,4,100,100,93.52,92.69,99.67,0,[HOST_b0a55dfb8c],52,env,,0,9,13,23,92.958,15,93.112,89.858,1,1
bm2-rms-ch-s5,4848883,Account1,ResNet18,CIFAR10,100,chunk777,RMSProp,Lion,1e-4,1e-3,1,1,-15:-2.3026,,na,na,5,100,100,93.31,93.13,99.78,0,[HOST_2f2f29d9e1],52,env,,0,9,16,22,92.846,14,93.136,89.728,1,1
nl1-rms-node-s0,4832412,Account1,ResNet18,CIFAR10,100,nodewise,RMSProp,Lion,1e-4,1e-3,1,1,-15:-2.3026,,na,na,0,100,100,93.02,91.56,99.63,0,[HOST_f0845cc956],44,env,,0,10,13,24,92.133,34,92.63,89.334,1,1
nl1-rms-node-s1,4832420,Account1,ResNet18,CIFAR10,100,nodewise,RMSProp,Lion,1e-4,1e-3,1,1,-15:-2.3026,,na,na,1,100,100,92.9,91.47,99.53,0,[HOST_e223b82d71],44,env,,0,11,16,19,92.131,23,91.854,89.389,1,1
nl1-rms-node-s2,4832428,Account1,ResNet18,CIFAR10,100,nodewise,RMSProp,Lion,1e-4,1e-3,1,1,-15:-2.3026,,na,na,2,100,100,93.18,91.94,99.57,0,[HOST_7b4dd78541],44,env,,0,10,13,23,92.249,25,91.982,89.529,1,1
bm2-rms-node-s3,4848874,Account1,ResNet18,CIFAR10,100,nodewise,RMSProp,Lion,1e-4,1e-3,1,1,-15:-2.3026,,na,na,3,100,100,93.24,91.02,99.59,0,[HOST_03eb56b6d1],44,env,,0,9,14,21,92.235,24,92.23,89.537,1,1
bm2-rms-node-s4,4848878,Account1,ResNet18,CIFAR10,100,nodewise,RMSProp,Lion,1e-4,1e-3,1,1,-15:-2.3026,,na,na,4,100,100,92.91,92.51,99.53,0,[HOST_b0a55dfb8c],44,env,,0,11,14,22,92.35,25,92.552,89.633,1,1
bm2-rms-node-s5,4848882,Account1,ResNet18,CIFAR10,100,nodewise,RMSProp,Lion,1e-4,1e-3,1,1,-15:-2.3026,,na,na,5,100,100,93.12,92.54,99.51,0,[HOST_2f2f29d9e1],44,env,,0,11,15,20,92.471,23,92.738,89.637,1,1
