measurement_id,run_id,metric,split,units,value,start_epoch_index,end_epoch_index_exclusive,window_records,window_basis,actual_epochs_parsed,terminal_window,job_id,seed,raw_sha256,raw_paths,source_fields,source_pointers,contexts,panels
MEAS-095eaad28c51e287,RUN-4687175,legacy_plateau20,test,accuracy_percent,91.261,80,100,20,parsed raw epoch count; legacy terminal CSV window,100,True,4687175,0,9192142c64e34b568185d0c5ea65d48892c0a10879d1504dea587376119f90c6,"[""archive/Account2/runs/ms-layA-1e3-s0-4687175.out""]","[""csv_plateau20""]","[""/panels/full_granularity_ladder/cells/0/runs/3/csv_plateau20""]","[""OCC-ddfb7a5f57ea6568""]","[""full_granularity_ladder""]"
MEAS-71b3977b355d2f0b,RUN-4682944,legacy_plateau20,test,accuracy_percent,91.159,80,100,20,parsed raw epoch count; legacy terminal CSV window,100,True,4682944,0,35b9202da4767343ba5bbb83be338008e457381586481619ae577e834aad9d09,"[""archive/Account2/runs/mx-a1e3-layer-s0-4682944.out""]","[""csv_plateau20""]","[""/panels/full_granularity_ladder/cells/0/runs/4/csv_plateau20""]","[""OCC-ddfb7a5f57ea6568""]","[""full_granularity_ladder""]"
MEAS-e25d2aa841b1c0f9,RUN-4886444,legacy_plateau20,test,accuracy_percent,91.111,80,100,20,parsed raw epoch count; legacy terminal CSV window,100,True,4886444,0,53c6119f8307b25b9734c1e948814cb691caf41484cd3a923547ab6b9d7c8ee3,"[""archive/Account2/runs/tl1-a3-plain-s0-4886444.out""]","[""csv_plateau20"",""plateau20""]","[""/panels/full_granularity_ladder/cells/0/runs/5/csv_plateau20"",""/panels/original_proposal_and_joint_tuning/twolevel/cells/0/runs/0/plateau20""]","[""OCC-0b5e60162402f755"",""OCC-ddfb7a5f57ea6568""]","[""full_granularity_ladder"",""original_proposal_and_joint_tuning""]"
MEAS-e371c5d8e87ae719,RUN-4680951,legacy_plateau20,test,accuracy_percent,91.223,80,100,20,parsed raw epoch count; legacy terminal CSV window,100,True,4680951,1,273f2d476a914e4942e95429efeb7a96e9f5df49be745ff53360702d7f855060,"[""archive/Account1/runs/a0L-lplain-1e3-s1-4680951.out""]","[""csv_plateau20""]","[""/panels/full_granularity_ladder/cells/0/runs/6/csv_plateau20"",""/panels/initialization_startup/matched_100/0/runs/1/csv_plateau20""]","[""OCC-1dd6002a2b514d23"",""OCC-ddfb7a5f57ea6568""]","[""full_granularity_ladder"",""initialization_startup""]"
MEAS-a3f6d2d8ce6435d4,RUN-4680816,legacy_plateau20,test,accuracy_percent,90.957,80,100,20,parsed raw epoch count; legacy terminal CSV window,100,True,4680816,1,bc893e3f890cd2eb2015563ada22d1ecf77b77357fc09d91eec74af8ff4e8483,"[""archive/Account1/runs/a0h-lplain-1e3-s1-4680816.out""]","[""csv_plateau20""]","[""/panels/full_granularity_ladder/cells/0/runs/7/csv_plateau20""]","[""OCC-ddfb7a5f57ea6568""]","[""full_granularity_ladder""]"
MEAS-cca5383380a2ff46,RUN-4912750,legacy_plateau20,test,accuracy_percent,91.13,80,100,20,parsed raw epoch count; legacy terminal CSV window,100,True,4912750,1,05d1c7d83b2b16ad08757b7410f4eb3c46f53247f064b7867bcd8a7705b16be3,"[""archive/Account2/runs/cfr1-lay-C-s1-4912750.out""]","[""csv_plateau20""]","[""/panels/full_granularity_ladder/cells/0/runs/8/csv_plateau20""]","[""OCC-ddfb7a5f57ea6568""]","[""full_granularity_ladder""]"
MEAS-55d77034994f1fe4,RUN-4687177,legacy_plateau20,test,accuracy_percent,91.005,80,100,20,parsed raw epoch count; legacy terminal CSV window,100,True,4687177,1,b1e4ea014a1fcd39bc35874d0187ed21a08a53d743a6ee80d5a99080d13d2c5a,"[""archive/Account2/runs/ms-layA-1e3-s1-4687177.out""]","[""csv_plateau20""]","[""/panels/full_granularity_ladder/cells/0/runs/9/csv_plateau20""]","[""OCC-ddfb7a5f57ea6568""]","[""full_granularity_ladder""]"
MEAS-48bd5c0ea43d8081,RUN-4682947,legacy_plateau20,test,accuracy_percent,91.249,80,100,20,parsed raw epoch count; legacy terminal CSV window,100,True,4682947,1,46117667917033e216c496e387aef65f503951b304bf38f8b16667693f6214e1,"[""archive/Account2/runs/mx-a1e3-layer-s1-4682947.out""]","[""csv_plateau20""]","[""/panels/full_granularity_ladder/cells/0/runs/10/csv_plateau20""]","[""OCC-ddfb7a5f57ea6568""]","[""full_granularity_ladder""]"
MEAS-2656235b7b5fb652,RUN-4886451,legacy_plateau20,test,accuracy_percent,91.099,80,100,20,parsed raw epoch count; legacy terminal CSV window,100,True,4886451,1,8dcd542208d1934c213886cbf0bb55eabaa0c0782f38e449f439593747b535c7,"[""archive/Account2/runs/tl1-a3-plain-s1-4886451.out""]","[""csv_plateau20"",""plateau20""]","[""/panels/full_granularity_ladder/cells/0/runs/11/csv_plateau20"",""/panels/original_proposal_and_joint_tuning/twolevel/cells/0/runs/1/plateau20""]","[""OCC-0b5e60162402f755"",""OCC-ddfb7a5f57ea6568""]","[""full_granularity_ladder"",""original_proposal_and_joint_tuning""]"
MEAS-ac856e9bb7bc5b0d,RUN-4912754,legacy_plateau20,test,accuracy_percent,91.111,80,100,20,parsed raw epoch count; legacy terminal CSV window,100,True,4912754,2,1ba010d1cb71a3411cdb4761f4091f66a8af669659af3a42a922664ac4f56133,"[""archive/Account2/runs/cfr1-lay-C-s2-4912754.out""]","[""csv_plateau20""]","[""/panels/full_granularity_ladder/cells/0/runs/12/csv_plateau20""]","[""OCC-ddfb7a5f57ea6568""]","[""full_granularity_ladder""]"
MEAS-22f397f895c84bc0,RUN-4687179,legacy_plateau20,test,accuracy_percent,91.261,80,100,20,parsed raw epoch count; legacy terminal CSV window,100,True,4687179,2,53b22ad2f1b6dc8f8afe2de395c2a351aeee5e2440fdd2e36850d7767b064f68,"[""archive/Account2/runs/ms-layA-1e3-s2-4687179.out""]","[""csv_plateau20""]","[""/panels/full_granularity_ladder/cells/0/runs/13/csv_plateau20""]","[""OCC-ddfb7a5f57ea6568""]","[""full_granularity_ladder""]"
MEAS-c90a6a840a64af7a,RUN-4682950,legacy_plateau20,test,accuracy_percent,91.236,80,100,20,parsed raw epoch count; legacy terminal CSV window,100,True,4682950,2,b78df1a70df4a9bf37dbe5f3ff6d4944afaf84987273dff7517070fa38ba9daf,"[""archive/Account2/runs/mx-a1e3-layer-s2-4682950.out""]","[""csv_plateau20""]","[""/panels/full_granularity_ladder/cells/0/runs/14/csv_plateau20""]","[""OCC-ddfb7a5f57ea6568""]","[""full_granularity_ladder""]"
MEAS-48d55065167106c8,RUN-4886458,legacy_plateau20,test,accuracy_percent,91.142,80,100,20,parsed raw epoch count; legacy terminal CSV window,100,True,4886458,2,0977dc4129b490105cb0ad0562a451bd08c980fdd659d69db86c7f29615aa170,"[""archive/Account2/runs/tl1-a3-plain-s2-4886458.out""]","[""csv_plateau20"",""plateau20""]","[""/panels/full_granularity_ladder/cells/0/runs/15/csv_plateau20"",""/panels/original_proposal_and_joint_tuning/twolevel/cells/0/runs/2/plateau20""]","[""OCC-0b5e60162402f755"",""OCC-ddfb7a5f57ea6568""]","[""full_granularity_ladder"",""original_proposal_and_joint_tuning""]"
MEAS-6153f084f79a1d34,RUN-4682953,legacy_plateau20,test,accuracy_percent,91.111,80,100,20,parsed raw epoch count; legacy terminal CSV window,100,True,4682953,3,bbc65c6bfab75c3e4c61786259b44160c3a3339a5dfbb003fe16465f90c27f53,"[""archive/Account2/runs/mx-a1e3-layer-s3-4682953.out""]","[""csv_plateau20""]","[""/panels/full_granularity_ladder/cells/0/runs/16/csv_plateau20""]","[""OCC-ddfb7a5f57ea6568""]","[""full_granularity_ladder""]"
MEAS-8b505e9e72c2ca16,RUN-4700388,legacy_plateau20,test,accuracy_percent,90.934,80,100,20,parsed raw epoch count; legacy terminal CSV window,100,True,4700388,3,179bab436bf6d20b72ff4909ca293b00fd3d092c2f08a69e1cccbf703b0e49b0,"[""archive/Account1/runs/rs-lay-1e3-s3-4700388.out""]","[""csv_plateau20""]","[""/panels/full_granularity_ladder/cells/0/runs/17/csv_plateau20""]","[""OCC-ddfb7a5f57ea6568""]","[""full_granularity_ladder""]"
